Date_time,FGO TK1551 Level Ctr PV - mm,FGO TK1552 Level Ctr PV - mm,FGO TK1553 Level Ctr PV - mm,FGO TK1554 Level Ctr PV - mm,FGO TK1555 Level Ctr SP - mm,TK1551 Air Blower Flow Loop PV - m3/h,TK1552 Air Blower Flow Loop PV - m3/h,TK1553 Air Blower Flow Loop PV - m3/h,TK1554 Air Blower Flow Loop PV - m3/h,TK1555 Air Blower Flow Loop PV - m3/h,FGO Mass Pull % PV - %,pH Indication for FGO - PV -  pH,FGO FLTS FD TNK DNSTY CONTROL MEAS -  %(PS),Collector Added To TK1550 PV -  m3/h,FGO FLTS FD TNK WTR FLW CONTROL MEAS -  m3/hr,PAX Flow to TK1552/3 Controller PV -  L/H,FLOW Collector to FGO TK1550 PV -  L/Hr,FROTHER  Flow 1 to TK1551/2 Controller PV -  L/H,FROTHER  Flow 2 to TK1551/2 Controller PV -  L/H,FROTHER  Flow to TK1551 Controller PV -  L/H,PROMOTER  Flow Rate- PV -  G/T,FGO CYCLONE Feed Density (%) - %,FGO Cyclone Overflow Density (%) - %,FGO CYCLONE O/F Sizing Control PV - % -150,[OV] FGO Cyclone Overflow Density Control PV - %,FGO Conc Flow Controller PV -  m3/hr,FGO Tails Flow Controller PV -  m3/hr,FLOTATION CONCENTRATE DENSITY -  %,FGO Flotation Rougher Tails Density  -  kg/m3,GT #1 bed level control PV - %,GT #2 bed level control PV - %,FLOW - m3/h,FLOW Collector to FGO Cyclone Under Flow - L/Hr,FIT5380 FGO Additional Feed To HGO Flots Flow - m3/h,Rougher to Float Flow Ctrl PV - m3/h,FLOATS R_Feed Density - kg/m3,Rougher to Flotation Feed Density  - %,Grinding Thickener 2 underflow  flow.CTRL PV - m3/h,Grinding Thickener 1 underflow  flow.CTRL PV - m3/h,TOTAL GT1 slurry feed GT1 TANK - T/H,TOTAL GT1 flow rate FEED TANK - m3/H,TOTAL GT2 slurry feed GT2 TANK - T/H,TOTAL GT2 flow rate FEED TANK - m3/H,TK2008 GT FEED MIX TANK LEVEL - %,TK2011 GT FEED MIX TANK LEVEL - %,[OV] FGO Sag Mill Feed Ctrl PV - t/h,[OV] FGO Sag Mill Motor Power - kW,[OV] FGO BM Motor Power - kW,[OV] FGO SM Feed Dilution Flow  PV - m3/h
11/10/2018,178.8137635,294.1666753,284.6638926,200.9745434,197.8548068,655.083716,327.233806,543.7224698,636.7215947,446.2941075,22.04889409,6.723355159,24.05520401,494.3906555,101.763379,10.35879731,48.23803888,0.011718752,7.648744418,1.413063723,0.025742674,56.56770907,34.7275032,84.25952857,30.34517595,212.3220617,349.7867093,46.27108312,1209.096038,22.57521992,30.8884456,9.868063915,144.4325885,160.131142,646.9444814,1129.479053,24.08445915,702.1004928,717.4398535,556.4554971,1393.12881,620.1880172,2074.238331,76.12393477,75.5090082,465.1397191,2908.669125,2399.982756,126.407181
12/10/2018,122.9119319,289.4796402,276.376812,214.8358265,209.1150548,654.0585293,333.1347262,564.4928671,606.1427973,439.4815651,34.70363816,6.682896554,23.13657594,494.3906555,66.34072222,0.16382723,78.23149946,0.011718752,9.104593574,2.462006271,0.025742674,54.43879671,35.94432807,80.56482562,31.5489489,386.0286085,542.4556761,28.72339014,1266.909157,20.73479619,28.15285337,16.48739105,219.9284243,209.1147041,1030.770325,1170.514539,23.14955374,673.1351479,701.8509967,539.4710947,1247.533335,563.8244892,1895.631335,75.20305891,75.858377,595.1858816,3154.647536,3733.084078,161.7446414
13/10/2018,102.805315,284.9282557,259.4698906,216.2713182,212.9009671,690.0841304,305.9969127,676.6099035,664.806715,593.8496585,33.24748684,6.647330745,23.86202779,494.3906555,162.5101934,0.142849203,86.85473631,0.011718752,9.256807679,3.444088189,0.025742674,60.39137885,41.4068503,83.54767064,33.93213801,473.5467986,608.3120621,25.71775943,1293.06458,14.77645306,28.28752699,9.355189335,248.2266528,153.0812904,1307.544229,1180.743678,23.86257963,717.8307553,497.594702,356.1906634,1138.911668,577.2278967,1840.144809,76.07352868,78.13143356,680.1318094,3481.918037,4062.080392,178.3696431
14/10/2018,251.5819911,298.6217183,276.5336035,282.156944,279.8694478,578.1516365,322.3673757,595.1560209,553.3806992,432.320771,8.093032164,7.440617159,5.564771303,494.3906555,108.2595626,0.140625,20.62321533,0.011718752,3.844782159,4.959322591,0.025742674,14.85063421,40.27989459,90.60618659,10.56678025,710.5244172,275.3826314,5.818450028,1069.473082,21.41402322,38.50535861,6.805873868,56.03205315,61.21019616,354.8848271,1040.942753,5.850840614,565.4430194,544.1563477,298.3213792,1140.19733,538.6980801,1699.7673,77.20033438,75.53751843,146.4234886,804.166702,1061.993721,37.77570468
15/10/2018,89.1923108,283.0171292,269.3182164,234.4422837,185.577248,741.0618858,290.5299461,695.6817935,695.3860547,396.9063026,35.17144432,6.755067961,23.08129524,494.3906555,229.2564989,0.140625,83.64323722,0.011718752,9.063968816,3.857148789,0.025742674,60.3124305,40.81816013,82.2941851,33.8615907,496.4115985,536.1245494,22.51149754,1291.888075,19.44253319,25.076753,9.865006957,193.9115271,184.4840503,1228.93088,1174.494619,23.08812039,960.1826334,643.007503,370.0562708,953.86705,769.093122,1893.557118,78.85045951,82.51424851,622.0982636,3207.746136,4073.44309,146.669264
16/10/2018,88.42833107,287.13372,269.3713408,244.4640725,200.0624669,677.3946037,316.903111,815.304582,557.544382,557.6282182,35.44497012,6.820639037,20.12517136,494.3906555,248.6791388,9.751055843,84.10581553,0.011718752,8.928723362,2.532465737,0.025742674,59.71511718,39.85689408,83.26951845,30.56365375,537.9259663,540.1034027,20.84894241,1282.551662,22.47500076,26.62641396,15.86465207,203.8605761,217.630504,1269.16328,1148.147633,20.12205319,852.9044617,548.1822858,442.346392,1011.212609,667.7126002,1843.96787,80.20988978,80.44353529,624.5112743,3332.653405,4107.041931,160.8369675
17/10/2018,91.58924946,287.4402999,272.5742052,230.1224685,234.1780741,541.5820198,329.1162672,737.2994662,752.0410301,571.729056,39.29342008,7.019994904,22.52757309,494.3906555,211.0673457,15.36362929,76.17117874,0.011718752,8.372615538,2.50841048,0.025740404,58.10874366,39.50909631,85.51817284,32.7345065,516.5858389,523.8448025,24.05243451,1281.85413,23.05260849,23.8101591,18.57813648,197.1249603,209.1157272,1217.994734,1168.898592,22.54235247,989.6144872,580.0917189,412.4858828,982.6058868,805.0087378,1949.870029,74.78477126,78.50202045,618.8929999,3293.730061,4091.436674,162.637255
18/10/2018,90.79745576,284.1293841,279.9651174,254.2860875,234.8034352,551.3654324,316.9095528,722.7838475,773.6685413,561.6829723,38.87827148,7.119586945,27.28607799,494.3906555,103.1796166,20.23920567,85.00431066,0.011718752,8.858571874,3.546402118,0.020707781,60.01674297,42.90212801,83.32012746,37.15133742,486.4649874,572.0154427,28.5546097,1302.270568,44.88068777,18.59658412,18.36196609,200.0166863,-0.033925766,1235.158158,1212.181611,27.30794713,995.760149,444.9286376,410.4481515,855.0649315,823.7794405,1850.830738,73.44165449,78.1469323,635.8030986,3553.683348,4090.861743,163.694942
19/10/2018,97.38196588,290.4067666,274.4684022,203.2084104,234.9579762,519.8863384,318.072856,677.7461145,670.8288356,495.8313259,40.45668982,7.014541205,27.61446503,494.3906555,71.087224,19.65790587,82.59626816,0.01171875,8.84842144,2.252746361,0.01982593,59.80298401,41.77224977,83.18625706,35.70116031,481.0482646,572.7190396,29.72883575,1293.803902,47.77660526,35.03199041,8.943144185,205.8908082,-0.135427808,1202.943065,1215.360845,27.65894012,577.8116791,497.4050835,296.4624415,1291.097616,574.1251838,1869.074408,75.55189566,76.80625412,633.9184017,3640.822088,4072.190134,182.1271121
20/10/2018,110.1222401,290.0261791,276.0408536,174.408364,207.6092992,557.4597926,319.3404834,713.2422366,625.0876511,448.1286115,40.44317884,6.935085577,26.27326451,494.3906555,59.97846575,19.77153588,85.66579183,0.011718748,8.851909619,1.902433493,0.020414445,59.47840818,40.6642155,82.35587046,33.97379637,511.7338415,575.5074613,27.97566829,1290.183219,18.80689867,22.86705354,13.72692154,199.7474297,0.785686507,1255.522617,1202.416253,26.27863856,1258.51593,556.2867668,229.8468567,945.9080965,1076.237825,2204.290722,79.56305299,80.89193617,640.6273767,3372.817928,4034.010144,165.3780875
21/10/2018,121.3145784,286.9757233,268.7118113,170.3385605,216.9056178,558.87368,362.6687191,760.1408959,627.3090868,539.7922289,37.17039139,6.858766745,27.21521756,494.3906555,64.79768504,17.93249548,73.10048207,0.011718748,7.500864992,2.54859608,0.020806434,55.62813397,37.50405992,81.28903356,34.06641833,429.2245284,538.1477937,29.70281553,1278.411477,17.49284677,33.67492576,14.07195806,162.8719467,0.159916027,1099.73798,1208.972603,27.18139837,828.4987884,556.5854929,204.4822166,1591.079338,800.1442684,2244.615203,80.47273551,77.33372709,578.9530022,3059.106977,3727.969466,151.4902352
22/10/2018,111.8816744,290.1180177,222.2587048,274.4639317,228.658937,555.2646179,317.3661428,813.9012349,670.5266286,476.3144463,42.26743451,6.802477728,27.49122324,494.3906555,64.29296504,17.96835993,87.26920523,0.011718748,9.163723588,2.003700328,0.020806434,59.89206269,41.81101358,82.16224137,35.14783967,496.4515006,545.2104019,30.12689118,1300.511818,16.72362346,33.64569669,14.49834681,207.4344784,0.217488773,1203.028863,1213.533927,27.44794201,697.3570279,635.0582369,275.2393009,1697.73567,672.2770834,2286.853862,77.77574201,79.67974075,646.5016671,3459.296805,4007.278364,166.7523373
23/10/2018,134.3696744,287.4354246,235.5201177,195.6766072,262.0785862,484.3159866,298.5463549,668.1804534,551.0876214,507.2208953,36.79455128,6.708912174,27.27325985,494.3906555,50.99062632,19.8062258,73.69406788,0.011718748,7.727006182,1.644457086,0.020806434,59.29210878,41.63847871,82.10020354,34.93972651,431.3286105,572.1160127,28.83033493,1285.379455,25.25355321,32.24544999,6.346097349,187.5573546,0.231129141,1158.055213,1202.487639,27.17861689,856.3282953,786.3033401,577.9949014,1552.735334,693.6249888,2409.058775,83.63624026,79.14321042,630.4151586,3293.868238,4005.16409,156.1897671
24/10/2018,109.4473439,284.2450339,217.0421463,233.2455974,210.640357,663.5750017,369.5259663,834.4233708,628.8987268,445.1786878,44.77430582,6.889676224,28.26637793,494.3906555,85.98353374,19.40806677,67.25404045,0.011718748,7.792223131,1.816808454,0.022004897,58.62076344,40.89198359,83.05583949,36.51968934,524.5969336,470.1810192,27.3249411,1298.892621,32.25244512,19.91572615,13.20692125,190.0053492,0.266717522,1152.553927,1221.54505,28.24599451,1214.71925,685.2190439,411.1715537,1191.159984,855.3371056,2405.878823,81.94283757,81.45199416,586.4142861,3399.641656,3982.204666,152.0544486
25/10/2018,250.3687032,299.1960878,278.5169629,243.9049082,255.5437601,371.8848547,184.2464151,423.1373279,373.2786833,321.8117936,11.10948434,7.533890743,7.362566289,494.3906555,37.86819331,4.151009729,20.74862082,0.011718748,2.394021182,5.188858799,0.022809727,15.25940088,47.30211863,92.95612905,9.997272381,310.9132041,214.4579691,6.924138587,1595.260404,46.98665413,27.76120639,11.21385166,45.4736977,0.293751835,298.8997167,1057.273267,7.38112693,771.9335679,576.0878652,131.1864313,468.659548,672.989236,1240.677449,74.27609881,75.27284747,141.3626532,866.5376601,1045.592921,40.13680034
